Country,Name,Status,Year,Owner,Turbine_type,Number_turbines,Turbine_model,Proxy_turbine,Turbine_MW,Rotor_radius,Airgap,Data_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Scroby Sands,Production,2004,RWE Offshore Wind,Fixed,30,V80-2.0 MW,,2,39,,https://www.power-technology.com/projects/scrobysands/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Kentish Flats,Production,2005,Vattenfall,Fixed,30,V90-3.0 MW,,3,45,,https://powerplants.vattenfall.com/kentish-flats/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Inner Dowsing,Production,2008,Centrica,Fixed,27,SWT-3.6-107,,3.6,60,,https://www.power-technology.com/projects/lynnandinnerdowsing/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Lynn,Production,2008,Centrica,Fixed,27,SWT-3.6-107,,3.6,60,,https://www.power-technology.com/projects/lynnandinnerdowsing/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Gunfleet Sands I,Production,2010,DONG Energy,Fixed,30,SWT-3.6-107,,3.6,53.5,22,https://www.renewable-technology.com/projects/gunfleet-sands-offshore-wind-farm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Gunfleet Sands II,Production,2010,DONG Energy,Fixed,18,SWT-3.6-107,,3.6,53.5,22,https://www.renewable-technology.com/projects/gunfleet-sands-offshore-wind-farm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Thanet,Production,2010,Vattenfall,Fixed,100,V90-3.0 MW,,3,45,,https://powerplants.vattenfall.com/thanet/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Greater Gabbard,Production,2012,"SSE Renewables, RWE Renewables",Fixed,140,SWT-3.6-107,,3.6,60,,"https://www.power-technology.com/marketdata/power-plant-profile-greater-gabbard-uk/#:~:text=The%20company%20provided%20140%20units,Gabbard%2C%20buy%20the%20profile%20here.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Sheringham Shoal,Production,2012,Equinor,Fixed,88,Siemens Wind Power 3.6MW turbines,,3.6,53.5,,http://sheringhamshoal.co.uk/about/facts-and-figures.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Gunfleet Sands Demo,Production,2013,DONG Energy,Fixed,2,Siemens,,6,77,22,https://www.renewable-technology.com/projects/gunfleet-sands-offshore-wind-farm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Lincs,Production,2013,"Centrica Energy, Siemens project Ventures, DONG Energy",Fixed,75,SWT-3.6-107,,3.6,60,,https://www.renewable-technology.com/projects/lincs-offshore-wind-farm-north-sea/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,London Array,Production,2013,"RWE,�Orsted, Masdar & La Caisse de d�p�t et placement du Qu�bec (CDPQ)",Fixed,175,SWT-3.6-120,,3.6,60,,https://londonarray.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Methil Demo,Production,2013,Samsung Renewable Energy,Fixed,1,Samsung�7.0-171,,7,85.5,,https://www.thewindpower.net/windfarm_en_16664_fife-energy-park.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Teesside,Production,2014,EDF Renewables UK,Fixed,27,SWT-2.3-93,,2.3,40,,https://www.edf-re.uk/our-sites/teesside/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Humber Gateway,Production,2015,RWE Renewables,Fixed,73,V112-3.0 MW,,3,55,,https://www.thewindpower.net/windfarm_en_12070_humber-gateway.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Kentish Flats Extension,Production,2015,Vattenfall,Fixed,15,V112 3.3 MW,,3.3,56,,https://powerplants.vattenfall.com/kentish-flats-extension/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Westermost Rough,Production,2015,"Done Energy, Marubeni Corporation, UK Green Investment Bank",Fixed,35,SWT-6.0-154,,6,77,,https://www.power-technology.com/projects/westermost-rough-offshore-wind-farm-yorkshire/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Blyth Demo Phase 1,Production,2017,EDF Renewables,Fixed,5,V164-8.0,,8,82,,https://www.power-technology.com/marketdata/power-plant-profile-blyth-offshore-wind-demonstration-site-uk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Dudgeon,Production,2017,Equinor,Fixed,67,SWT-6.0-154,,6,77,,https://dudgeonoffshorewind.co.uk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Hywind Scotland Pilot Park,Production,2017,Equinor,Floating,5,Siemens direct-drive,,6,77,,https://www.equinor.com/energy/hywind-scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Aberdeen Offshore W/F,Production,2018,Vattenfall,Fixed,11,nine Vestas V164-8.4MW and two V164-8.8MW,,8.8,82,,https://group.vattenfall.com/uk/what-we-do/our-projects/european-offshore-wind-deployment-centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Galloper,Production,2018,"RWE Renewables, Siemens Financial Services, ESB, Sumitomo Corporation",Fixed,56,SWT-6.0-154,,6.3,77,,"https://www.power-technology.com/projects/galloper-offshore-wind-farm/#:~:text=Galloper%20offshore%20windfarm%20make%2Dup&text=The%20Galloper%20offshore%20windfarm%20features,total%20generation%20capacity%20of%20353MW.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Race Bank,Production,2018,�rsted,Fixed,91,SWT-6.0-154,,6,77,,https://www.nsenergybusiness.com/projects/race-bank-offshore-wind-farm-north-sea-uk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Beatrice Offshore Wind Farm,Production,2019,"SSE, Red Rock Power, TRIG, Equitix",Fixed,84,SWT-7.0-154,,7,77,,https://www.beatricewind.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,East Anglia ONE,Production,2020,"ScottishPower, Macquarie's Green Investment Group",Fixed,102,SWT-7.0-154,,7,77,,https://www.power-technology.com/projects/east-anglia-one-offshore-wind-farm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Hornsea 1 (Centre),Production,2020,�rsted,Fixed,58,SWT-7.0-154,,7,77,,https://hornseaprojects.co.uk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Hornsea 1 (East),Production,2020,�rsted,Fixed,58,SWT-7.0-154,,7,77,,https://hornseaprojects.co.uk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Hornsea 1 (West),Production,2020,�rsted,Fixed,58,SWT-7.0-154,,7,77,,https://hornseaprojects.co.uk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
