Source,Source_type,Source_code,Genus,Species,Common_name,Type,Year,Month,Day,Locality,Added_Z.,Registration_number,Photo_number,Notes,Sex,Phase
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1996,9,29,"Aberystwyth, Dyfed, Wales, Northern Europe",x,1997.112.9(S1954),"983, 984",,Female,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1996,7,31,"Crosby Sands, Merseyside, England, Northern Europe",x,1997.112.10(SW1996/129),"985, 986",,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1996,5,26,"Rhosselli Beach, Dyfed, Wales, Northern Europe",x,1997.112.11(SW1996/94),"989, 990",,Female,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1997,7,17,"Fishguard, Dyfed, Wales, Northern Europe",x,1997.112.15,"898, 899",,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1997,7,30,"Borth, Dyfed, Wales, Northern Europe",x,"1997.112.18, S. W. 1997/128, 51973","900, 901",,Female,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,teeth,1997,6,24,"Pendine, Dyfed, Wales, Northern Europe",x,1997.112.13(SW1997/97),NA,,Female,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,teeth,1997,7,17,"New Quay, Dyfed, Wales, Northern Europe",x,1997.112.16(SW1997/7),NA,,Female,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,teeth,1997,7,13,"Pembrey, Dyfed, Wales, Northern Europe",x,1997.112.14(SW1997/113),NA,,Female,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1997,6,19,"Pembrey, Dyfed, Wales, Northern Europe",x,1997.112.12,"987, 988",,Female,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,teeth,,,,,,1991.29.4,,,,
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,,,,,,1992.112.17,"699, 700",,,
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,,,,,,Z.1992.29.unreg (M2287/91),"703, 704",,,
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,jaws with teeth,,,,,,1992.150.30,NA,,,
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,,,,,,Z.1992.50.22,"709, 710",,,
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,jaws with teeth,,,,,,1992.15.13,NA,,,
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,,,,,,Z.1996.146.2,"772, 773",,,
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,,,,,,Z.1996.146.1,"774, 775",,,
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull without teeth,,,,,,1990.015.027,"800, 801",,,
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull without teeth,,,,"Firth of Forth, North Sea, North Atlantic, ATLANTIC OCEAN",,Z.1990.15.21,"805, 806",Trawled off the Bass Rock,,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull without teeth,,,,"Norway, Northern Europe",,Z.1990.128.1,"837, 838",,,Subadult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,,,,,,1990.015.014,"870, 871, 872",note photographed,,
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull ,,,,,,1990.015.020,"873, 874","skull had teeth, but was covered in gypsum",,
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,teeth,,,,,,Z.1945.45,NA,,,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull without teeth,,,,,,1967.044,"877, 879",label listed locality,,
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,jaws with teeth,,,,,,1990.015.024,NA,locality information: Dunbar,,
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,jaws with teeth,,,,,,1990.015.025,NA,locality information: Dunbar,,
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,teeth,,,,,,1990.015.017,NA,,,
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,,,,,,Z.1990.15.18,"884, 885","definitely old, teeth attached to skull",,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,,,,,,92.9,"888, 889","was labelled with ""artic. Skeleton"", teeth might have been treated with glue",,
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,,,,,,1997.116.45(M2335/95),"902, 903",Shows up as Risso's dolphin in online database,,
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,,,,,,1995.224(SW1995/35),"928, 929",oily from the touch,,
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,,,,,x,1996.137.60(CBC2),"944, 945",,Male,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,,,,"Courtmacsherry, County Cork, Ireland, Northern Europe",x,1996.137.61(CBC4),"946, 947",,Female,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,,,,"Dingle, County Kerry, Ireland, Northern Europe",x,1996.137.59(CB1),"948, 949",,Female,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,,,,"County Wexford, Ireland, Northern Europe",x,1996.137.63(CBC11),"950, 951",,Male,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,,,,,,1996(CBC13),"952, 953",unreadable registration number due to oil damage,,
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,,,,,,1996.137.767(HP1),"956, 957",,,
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,,,,,x,1996.137.72(HP8/93A),"966, 967",,,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,teeth,,,,"County Sligo, Ireland, Northern Europe",x,1996.137.62(CBC5),NA,,Female,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,,,,"Westward Ho!, Devon, England, Northern Europe",x,1994.54.18,"1069, 1070",,Male,Juvenile
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
