mreference,class_field,subclass,event,eventnumberinyear,speciesscientific,speciescommon,datefound,datecertainty,latitudewgs84,longitudewgs84,sex,length,lengthuncertain,conditionfound,examinationlevel,Year
M34/01,Cetacean,Harbour porpoise,Single,34,Phocoena phocoena,Harbour porpoise,2001-04-08,Exact,57.64234924,-3.601451397,M,109,FALSE,Slight decomposition (code 2b),necropsied,2001
M38/01,Cetacean,Harbour porpoise,Single,38,Phocoena phocoena,Harbour porpoise,2001-04-09,Exact,56.64715576,-2.502229452,M,124,FALSE,Slight decomposition (code 2b),necropsied,2001
M35/01,Cetacean,Harbour porpoise,Single,35,Phocoena phocoena,Harbour porpoise,2001-04-09,Exact,56.29611969,-5.64928484,F,163,FALSE,Slight decomposition (code 2b),necropsied,2001
M36/01,Cetacean,Harbour porpoise,Single,36,Phocoena phocoena,Harbour porpoise,2001-04-10,Exact,57.24248505,-5.90161705,F,104,FALSE,Slight decomposition (code 2b),necropsied,2001
M39/01,Cetacean,Harbour porpoise,Single,39,Phocoena phocoena,Harbour porpoise,2001-04-11,Exact,57.69413376,-2.610579491,F,115,FALSE,moderate decomposition (code 3),necropsied,2001
M40/01,Cetacean,Harbour porpoise,Single,40,Phocoena phocoena,Harbour porpoise,2001-04-14,Exact,57.87995148,-4.013381004,M,107,FALSE,moderate decomposition (code 3),necropsied,2001
M43/01,Cetacean,Harbour porpoise,Single,43,Phocoena phocoena,Harbour porpoise,2001-04-17,Exact,57.67992401,-2.325266123,M,118,FALSE,freshly dead- died on beach (code 2a),necropsied,2001
M45/01,Cetacean,Harbour porpoise,Single,45,Phocoena phocoena,Harbour porpoise,2001-04-19,Exact,57.694664,-2.833699465,F,121,FALSE,Slight decomposition (code 2b),necropsied,2001
M46/01,Cetacean,Harbour porpoise,Single,46,Phocoena phocoena,Harbour porpoise,2001-04-20,Exact,57.75024796,-3.918781519,M,153,FALSE,Slight decomposition (code 2b),necropsied,2001
M47/01,Cetacean,Harbour porpoise,Single,47,Phocoena phocoena,Harbour porpoise,2001-04-21,Exact,57.15571594,-2.077649832,M,114,FALSE,moderate decomposition (code 3),necropsied,2001
M48/01,Cetacean,Harbour porpoise,Single,48,Phocoena phocoena,Harbour porpoise,2001-04-21,Exact,57.15571594,-2.077649832,M,104,FALSE,moderate-advanced decomposition (code 3-4),necropsied,2001
M49/01,Cetacean,Harbour porpoise,Single,49,Phocoena phocoena,Harbour porpoise,2001-04-24,Exact,57.24646378,-2.041383028,M,110,FALSE,freshly dead- died on beach (code 2a),necropsied,2001
M51/01,Cetacean,Harbour porpoise,Single,51,Phocoena phocoena,Harbour porpoise,2001-04-26,Exact,55.88470078,-4.965891838,M,129,FALSE,freshly dead- died on beach (code 2a),necropsied,2001
M55/01,Cetacean,Harbour porpoise,Single,55,Phocoena phocoena,Harbour porpoise,2001-05-04,Exact,57.88021469,-3.996533394,M,103,FALSE,Slight decomposition (code 2b),necropsied,2001
M58/01,Cetacean,Harbour porpoise,Single,58,Phocoena phocoena,Harbour porpoise,2001-05-09,Exact,57.49967194,-4.239413738,M,110,FALSE,advanced decomposition (code 4),necropsied,2001
M57/01,Cetacean,Harbour porpoise,Single,57,Phocoena phocoena,Harbour porpoise,2001-05-10,Exact,57.19704819,-2.069473028,M,151,FALSE,advanced decomposition (code 4),necropsied,2001
M63/01,Cetacean,Harbour porpoise,Single,63,Phocoena phocoena,Harbour porpoise,2001-05-17,Exact,56.85020447,-5.319160938,F,110,FALSE,freshly dead- died on beach (code 2a),necropsied,2001
M59/01,Cetacean,Harbour porpoise,Single,59,Phocoena phocoena,Harbour porpoise,2001-05-18,Exact,56.64714813,-2.503863096,F,110,FALSE,advanced decomposition (code 4),necropsied,2001
M66/01,Cetacean,Harbour porpoise,Single,66,Phocoena phocoena,Harbour porpoise,2001-05-19,Exact,57.7466507,-3.918589115,U,120,TRUE,advanced decomposition (code 4),not necropsied,2001
M68/01,Cetacean,Harbour porpoise,Single,68,Phocoena phocoena,Harbour porpoise,2001-05-23,Exact,57.25318527,-5.90441227,U,NA,TRUE,unknown,not necropsied,2001
M77/01,Cetacean,Harbour porpoise,Single,77,Phocoena phocoena,Harbour porpoise,2001-06-12,Exact,55.96471024,-2.398839474,F,NA,FALSE,advanced decomposition (code 4),necropsied,2001
M127/01,Cetacean,Harbour porpoise,Single,127,Phocoena phocoena,Harbour porpoise,2001-06-13,Exact,56.33658981,-6.214914322,M,112,TRUE,advanced decomposition (code 4),sampled,2001
M80/01,Cetacean,Harbour porpoise,Single,80,Phocoena phocoena,Harbour porpoise,2001-06-18,Exact,56.33397675,-2.7779212,F,79,FALSE,Slight decomposition (code 2b),necropsied,2001
M82/01,Cetacean,Harbour porpoise,Single,82,Phocoena phocoena,Harbour porpoise,2001-06-21,Exact,57.15571594,-2.076010227,F,78,FALSE,moderate decomposition (code 3),necropsied,2001
M83/01,Cetacean,Harbour porpoise,Single,83,Phocoena phocoena,Harbour porpoise,2001-06-22,Exact,56.20442581,-4.745419979,F,110,FALSE,freshly dead- died on beach (code 2a),necropsied,2001
M86/01,Cetacean,Harbour porpoise,Single,86,Phocoena phocoena,Harbour porpoise,2001-06-29,Exact,57.25724411,-2.034775972,U,NA,TRUE,unknown,not necropsied,2001
M91/01,Cetacean,Harbour porpoise,Single,91,Phocoena phocoena,Harbour porpoise,2001-07-07,Exact,56.3741951,-2.811115026,M,84,FALSE,Slight decomposition (code 2b),necropsied,2001
M90/01,Cetacean,Harbour porpoise,Single,90,Phocoena phocoena,Harbour porpoise,2001-07-09,Exact,56.18504333,-4.768207073,F,116,FALSE,moderate decomposition (code 3),necropsied,2001
M93/01,Cetacean,Harbour porpoise,Single,93,Phocoena phocoena,Harbour porpoise,2001-07-10,Exact,57.27251053,-5.742132664,U,NA,TRUE,indeterminate (code 5),not necropsied,2001
M100/01,Cetacean,Harbour porpoise,Single,100,Phocoena phocoena,Harbour porpoise,2001-07-18,Exact,57.71081543,-3.268776178,F,164,FALSE,moderate decomposition (code 3),necropsied,2001
M104/01,Cetacean,Harbour porpoise,Single,104,Phocoena phocoena,Harbour porpoise,2001-07-21,Exact,57.69644547,-2.127456903,U,140,TRUE,unknown,not necropsied,2001
M105/01,Cetacean,Harbour porpoise,Single,105,Phocoena phocoena,Harbour porpoise,2001-07-23,Exact,57.24375534,-5.860288143,M,157,FALSE,freshly dead- died on beach (code 2a),necropsied,2001
M108/01,Cetacean,Harbour porpoise,Single,108,Phocoena phocoena,Harbour porpoise,2001-07-24,Exact,58.59625626,-3.379840374,U,NA,TRUE,unknown,not necropsied,2001
M111/01,Cetacean,Harbour porpoise,Single,111,Phocoena phocoena,Harbour porpoise,2001-07-29,Exact,54.89587021,-4.392037868,F,164,FALSE,freshly dead- died on beach (code 2a),necropsied,2001
M113/01,Cetacean,Harbour porpoise,Single,113,Phocoena phocoena,Harbour porpoise,2001-08-03,Exact,57.70433807,-2.864132643,M,104,FALSE,freshly dead- died on beach (code 2a),necropsied,2001
M118/01,Cetacean,Harbour porpoise,Single,118,Phocoena phocoena,Harbour porpoise,2001-08-05,Exact,58.0954895,-7.10367918,F,145,TRUE,unknown,sampled,2001
M117/01,Cetacean,Harbour porpoise,Single,117,Phocoena phocoena,Harbour porpoise,2001-08-07,Exact,55.8416214,-4.887526512,M,139,FALSE,moderate decomposition (code 3),necropsied,2001
M120/01,Cetacean,Harbour porpoise,Single,120,Phocoena phocoena,Harbour porpoise,2001-08-17,Exact,57.67747498,-2.975841999,F,119,FALSE,moderate decomposition (code 3),necropsied,2001
M121/01,Cetacean,Harbour porpoise,Single,121,Phocoena phocoena,Harbour porpoise,2001-08-19,Exact,56.63637543,-2.502093792,F,140,FALSE,moderate decomposition (code 3),necropsied,2001
M123/01,Cetacean,Harbour porpoise,Single,123,Phocoena phocoena,Harbour porpoise,2001-08-22,Exact,56.49882126,-2.706564903,M,147,FALSE,moderate decomposition (code 3),necropsied,2001
M135/01,Cetacean,Harbour porpoise,Single,135,Phocoena phocoena,Harbour porpoise,2001-09-14,Exact,55.73838425,-5.596999168,F,168,FALSE,freshly dead- died on beach (code 2a),necropsied,2001
M136/01,Cetacean,Harbour porpoise,Single,136,Phocoena phocoena,Harbour porpoise,2001-09-15,Exact,57.69672394,-3.489756584,F,137,FALSE,Slight decomposition (code 2b),necropsied,2001
M164/01,Cetacean,Harbour porpoise,Single,164,Phocoena phocoena,Harbour porpoise,2001-10-25,Exact,58.92474747,-3.128901005,M,154,TRUE,moderate decomposition (code 3),not necropsied,2001
M147/01,Cetacean,Harbour porpoise,Single,147,Phocoena phocoena,Harbour porpoise,2001-11-01,Exact,57.90540695,-3.994559288,M,154,FALSE,moderate decomposition (code 3),necropsied,2001
M154/01,Cetacean,Harbour porpoise,Single,154,Phocoena phocoena,Harbour porpoise,2001-11-04,Exact,57.30116653,-7.400190353,U,120,TRUE,advanced decomposition (code 4),sampled,2001
M161/01,Cetacean,Harbour porpoise,Single,161,Phocoena phocoena,Harbour porpoise,2001-11-22,Exact,55.99739456,-4.717887402,F,149,FALSE,Slight decomposition (code 2b),necropsied,2001
M174/01,Cetacean,Harbour porpoise,Single,174,Phocoena phocoena,Harbour porpoise,2001-12-09,Exact,56.66333771,-2.499188662,M,143,FALSE,Slight decomposition (code 2b),necropsied,2001
M4/02,Cetacean,Harbour porpoise,Single,4,Phocoena phocoena,Harbour porpoise,2002-01-05,Exact,57.47961044,-7.373113155,M,112,TRUE,moderate decomposition (code 3),sampled,2002
M2/02,Cetacean,Harbour porpoise,Single,2,Phocoena phocoena,Harbour porpoise,2002-01-06,Exact,57.69952393,-2.909314871,F,106,FALSE,Slight decomposition (code 2b),necropsied,2002
M3/02,Cetacean,Harbour porpoise,Single,3,Phocoena phocoena,Harbour porpoise,2002-01-07,Exact,55.78461075,-6.311451912,M,154,FALSE,Slight decomposition (code 2b),necropsied,2002
M13/02,Cetacean,Harbour porpoise,Single,13,Phocoena phocoena,Harbour porpoise,2002-01-28,Exact,56.03459167,-3.484477758,U,150,TRUE,advanced decomposition (code 4),not necropsied,2002
M15/02,Cetacean,Harbour porpoise,Single,15,Phocoena phocoena,Harbour porpoise,2002-01-29,Exact,56.03802872,-4.868459225,M,104,FALSE,freshly dead- died on beach (code 2a),necropsied,2002
M18/02,Cetacean,Harbour porpoise,Single,18,Phocoena phocoena,Harbour porpoise,2002-02-06,Exact,56.19853592,-2.87831974,M,144,FALSE,Slight decomposition (code 2b),necropsied,2002
M29/02,Cetacean,Harbour porpoise,Single,29,Phocoena phocoena,Harbour porpoise,2002-02-10,Exact,57.46209335,-7.403933525,U,120,TRUE,unknown,not necropsied,2002
M38/02,Cetacean,Harbour porpoise,Single,38,Phocoena phocoena,Harbour porpoise,2002-02-17,Exact,59.09871292,-3.345841169,U,160,TRUE,unknown,not necropsied,2002
M42/02,Cetacean,Harbour porpoise,Single,42,Phocoena phocoena,Harbour porpoise,2002-02-24,Exact,55.70699692,-6.293329716,U,150,TRUE,moderate decomposition (code 3),not necropsied,2002
M32/02,Cetacean,Harbour porpoise,Single,32,Phocoena phocoena,Harbour porpoise,2002-03-01,Exact,57.52637482,-7.395065784,M,151,TRUE,advanced decomposition (code 4),not necropsied,2002
M27/02,Cetacean,Harbour porpoise,Single,27,Phocoena phocoena,Harbour porpoise,2002-03-01,Exact,54.92659378,-4.993283272,F,133,FALSE,moderate decomposition (code 3),necropsied,2002
M36/02,Cetacean,Harbour porpoise,Single,36,Phocoena phocoena,Harbour porpoise,2002-03-07,Exact,57.47954559,-7.374772072,F,124,TRUE,advanced decomposition (code 4),sampled,2002
M35/02,Cetacean,Harbour porpoise,Single,35,Phocoena phocoena,Harbour porpoise,2002-03-09,Exact,59.97555542,-1.260057569,F,97,FALSE,freshly dead- died on beach (code 2a),necropsied,2002
M44/02,Cetacean,Harbour porpoise,Single,44,Phocoena phocoena,Harbour porpoise,2002-03-15,Exact,57.19614792,-2.067804575,U,120,TRUE,moderate decomposition (code 3),not necropsied,2002
M37/02,Cetacean,Harbour porpoise,Single,37,Phocoena phocoena,Harbour porpoise,2002-03-16,Exact,57.25724411,-2.036437035,U,150,TRUE,advanced decomposition (code 4),sampled,2002
M45/02,Cetacean,Harbour porpoise,Single,45,Phocoena phocoena,Harbour porpoise,2002-03-17,Exact,57.20153809,-2.064518452,U,124,FALSE,freshly dead- died on beach (code 2a),necropsied,2002
M46/02,Cetacean,Harbour porpoise,Single,46,Phocoena phocoena,Harbour porpoise,2002-03-20,Exact,57.19614792,-2.067804575,F,114,FALSE,Slight decomposition (code 2b),necropsied,2002
M49/02,Cetacean,Harbour porpoise,Single,49,Phocoena phocoena,Harbour porpoise,2002-04-02,Exact,57.67742157,-3.980342627,M,116,FALSE,freshly dead- died on beach (code 2a),necropsied,2002
M50/02,Cetacean,Harbour porpoise,Single,50,Phocoena phocoena,Harbour porpoise,2002-04-16,Exact,57.66869354,-3.062778711,M,151,FALSE,Slight decomposition (code 2b),necropsied,2002
M55/02,Cetacean,Harbour porpoise,Single,55,Phocoena phocoena,Harbour porpoise,2002-04-23,Exact,57.3111496,-1.994980335,U,120,TRUE,moderate decomposition (code 3),not necropsied,2002
M61/02,Cetacean,Harbour porpoise,Single,61,Phocoena phocoena,Harbour porpoise,2002-05-09,Exact,56.02869034,-3.373525858,F,119,FALSE,Slight decomposition (code 2b),necropsied,2002
M62/02,Cetacean,Harbour porpoise,Single,62,Phocoena phocoena,Harbour porpoise,2002-05-11,Exact,57.24556351,-2.039729834,F,108,FALSE,Slight decomposition (code 2b),necropsied,2002
M64/02,Cetacean,Harbour porpoise,Single,64,Phocoena phocoena,Harbour porpoise,2002-05-12,Exact,57.39281845,-1.860220909,U,130,TRUE,unknown,not necropsied,2002
M66/02,Cetacean,Harbour porpoise,Single,66,Phocoena phocoena,Harbour porpoise,2002-05-12,Exact,56.63010025,-2.498747587,U,100,TRUE,unknown,not necropsied,2002
M71/02,Cetacean,Harbour porpoise,Single,71,Phocoena phocoena,Harbour porpoise,2002-05-23,Exact,57.25318527,-5.90441227,U,140,TRUE,advanced decomposition (code 4),not necropsied,2002
M70/02,Cetacean,Harbour porpoise,Single,70,Phocoena phocoena,Harbour porpoise,2002-05-25,Exact,57.65964508,-1.906117797,M,128,FALSE,Slight decomposition (code 2b),necropsied,2002
M72/02,Cetacean,Harbour porpoise,Single,72,Phocoena phocoena,Harbour porpoise,2002-05-27,Exact,57.32371521,-1.970065832,F,76,FALSE,freshly dead- died on beach (code 2a),necropsied,2002
M73/02,Cetacean,Harbour porpoise,Single,73,Phocoena phocoena,Harbour porpoise,2002-05-29,Exact,60.18654251,-1.437434912,M,139,FALSE,Slight decomposition (code 2b),necropsied,2002
M90/02,Cetacean,Harbour porpoise,Single,90,Phocoena phocoena,Harbour porpoise,2002-05-30,Exact,58.07448196,-3.737757206,U,120,TRUE,unknown,not necropsied,2002
M74/02,Cetacean,Harbour porpoise,Single,74,Phocoena phocoena,Harbour porpoise,2002-05-30,Exact,57.25185394,-2.036428213,M,84,FALSE,freshly dead- died on beach (code 2a),necropsied,2002
M76/02,Cetacean,Harbour porpoise,Single,76,Phocoena phocoena,Harbour porpoise,2002-06-01,Exact,59.2859993,-3.205787659,F,155,FALSE,Slight decomposition (code 2b),necropsied,2002
M687/02,Cetacean,Harbour porpoise,Single,687,Phocoena phocoena,Harbour porpoise,2002-06-01,Exact,58.96496582,-2.792865515,U,NA,TRUE,advanced decomposition (code 4),not necropsied,2002
M78/02,Cetacean,Harbour porpoise,Single,78,Phocoena phocoena,Harbour porpoise,2002-06-03,Exact,57.57720184,-4.066881657,U,130,TRUE,freshly dead- died on beach (code 2a),not necropsied,2002
M79/02,Cetacean,Harbour porpoise,Single,79,Phocoena phocoena,Harbour porpoise,2002-06-06,Exact,57.58697891,-3.901808739,M,143,FALSE,moderate decomposition (code 3),necropsied,2002
M681/02,Cetacean,Harbour porpoise,Single,681,Phocoena phocoena,Harbour porpoise,2002-06-06,Exact,58.4767189,-5.086954117,U,75,TRUE,moderate decomposition (code 3),not necropsied,2002
M688/02,Cetacean,Harbour porpoise,Single,688,Phocoena phocoena,Harbour porpoise,2002-06-13,Exact,59.26732635,-2.485867023,U,86,TRUE,unknown,not necropsied,2002
M85/02,Cetacean,Harbour porpoise,Single,85,Phocoena phocoena,Harbour porpoise,2002-06-14,Exact,60.1372757,-1.276245713,M,147,FALSE,moderate decomposition (code 3),necropsied,2002
M91/02,Cetacean,Harbour porpoise,Single,91,Phocoena phocoena,Harbour porpoise,2002-06-24,Exact,57.92863846,-4.002600193,U,100,TRUE,unknown,not necropsied,2002
M88/02,Cetacean,Harbour porpoise,Single,88,Phocoena phocoena,Harbour porpoise,2002-06-25,Exact,55.47520447,-4.632753372,F,164,FALSE,freshly dead- died on beach (code 2a),necropsied,2002
M89/02,Cetacean,Harbour porpoise,Single,89,Phocoena phocoena,Harbour porpoise,2002-06-26,Exact,55.46969223,-5.711770535,M,147,FALSE,freshly dead- died on beach (code 2a),necropsied,2002
M99/02,Cetacean,Harbour porpoise,Single,99,Phocoena phocoena,Harbour porpoise,2002-07-14,Exact,57.58636093,-7.506178856,U,NA,TRUE,indeterminate (code 5),sampled,2002
M101/02,Cetacean,Harbour porpoise,Single,101,Phocoena phocoena,Harbour porpoise,2002-07-15,Exact,57.05815125,-6.491272926,U,135,TRUE,indeterminate (code 5),sampled,2002
M108/02,Cetacean,Harbour porpoise,Single,108,Phocoena phocoena,Harbour porpoise,2002-07-27,Exact,56.46536255,-2.88122344,F,66,FALSE,freshly dead- died on beach (code 2a),necropsied,2002
M130/02,Cetacean,Harbour porpoise,Single,130,Phocoena phocoena,Harbour porpoise,2002-08-15,Exact,55.86190033,-5.088850498,F,120,FALSE,freshly dead- died on beach (code 2a),necropsied,2002
M155/02,Cetacean,Harbour porpoise,Single,155,Phocoena phocoena,Harbour porpoise,2002-08-20,Exact,56.54423523,-2.614704609,M,105,FALSE,advanced decomposition (code 4),necropsied,2002
M161/02,Cetacean,Harbour porpoise,Single,161,Phocoena phocoena,Harbour porpoise,2002-08-23,Exact,55.36694336,-4.772335052,U,140,TRUE,advanced decomposition (code 4),not necropsied,2002
M203/02,Cetacean,Harbour porpoise,Single,203,Phocoena phocoena,Harbour porpoise,2002-09-06,Exact,55.98613358,-4.896690845,F,150,FALSE,Slight decomposition (code 2b),necropsied,2002
M205/02,Cetacean,Harbour porpoise,Single,205,Phocoena phocoena,Harbour porpoise,2002-09-08,Exact,56.05608368,-4.903550148,M,146,FALSE,Slight decomposition (code 2b),necropsied,2002
M243/02,Cetacean,Harbour porpoise,Single,243,Phocoena phocoena,Harbour porpoise,2002-09-23,Exact,56.0594368,-2.711361408,F,160,FALSE,Slight decomposition (code 2b),necropsied,2002
M257/02,Cetacean,Harbour porpoise,Single,257,Phocoena phocoena,Harbour porpoise,2002-09-27,Exact,55.68172455,-6.26985693,M,121,TRUE,advanced decomposition (code 4),sampled,2002
M299/02,Cetacean,Harbour porpoise,Single,299,Phocoena phocoena,Harbour porpoise,2002-10-07,Exact,55.98164749,-2.439079285,U,NA,TRUE,indeterminate (code 5),not necropsied,2002
M356/02,Cetacean,Harbour porpoise,Single,356,Phocoena phocoena,Harbour porpoise,2002-10-19,Exact,57.69040298,-2.929218054,M,115,FALSE,freshly dead- died on beach (code 2a),necropsied,2002
M441/02,Cetacean,Harbour porpoise,Single,441,Phocoena phocoena,Harbour porpoise,2002-11-10,Exact,54.85327911,-3.785043716,F,170,FALSE,moderate decomposition (code 3),necropsied,2002
M445/02,Cetacean,Harbour porpoise,Single,445,Phocoena phocoena,Harbour porpoise,2002-11-11,Exact,56.20965195,-2.954351664,M,99,FALSE,Slight decomposition (code 2b),necropsied,2002
M460/02,Cetacean,Harbour porpoise,Single,460,Phocoena phocoena,Harbour porpoise,2002-11-13,Exact,56.39720154,-5.574656963,U,150,TRUE,unknown,not necropsied,2002
M502/02,Cetacean,Harbour porpoise,Single,502,Phocoena phocoena,Harbour porpoise,2002-11-22,Exact,56.01058197,-5.317341805,F,166,FALSE,Slight decomposition (code 2b),necropsied,2002
M546/02,Cetacean,Harbour porpoise,Single,546,Phocoena phocoena,Harbour porpoise,2002-11-29,Exact,60.26649857,-1.114335418,F,149,FALSE,moderate decomposition (code 3),necropsied,2002
M580/02,Cetacean,Harbour porpoise,Single,580,Phocoena phocoena,Harbour porpoise,2002-12-04,Exact,57.56671524,-7.461335659,F,135,FALSE,Slight decomposition (code 2b),necropsied,2002
M590/02,Cetacean,Harbour porpoise,Single,590,Phocoena phocoena,Harbour porpoise,2002-12-11,Exact,56.33485794,-2.781172991,M,152,FALSE,freshly dead- died on beach (code 2a),necropsied,2002
M594/02,Cetacean,Harbour porpoise,Single,594,Phocoena phocoena,Harbour porpoise,2002-12-11,Exact,56.21117783,-2.73029542,F,109,FALSE,freshly dead- died on beach (code 2a),necropsied,2002
M604/02,Cetacean,Harbour porpoise,Single,604,Phocoena phocoena,Harbour porpoise,2002-12-13,Exact,57.25095367,-2.038078785,M,104,FALSE,moderate decomposition (code 3),necropsied,2002
M616/02,Cetacean,Harbour porpoise,Single,616,Phocoena phocoena,Harbour porpoise,2002-12-17,Exact,56.73905182,-2.434791803,F,146,TRUE,advanced decomposition (code 4),sampled,2002
M664/02,Cetacean,Harbour porpoise,Single,664,Phocoena phocoena,Harbour porpoise,2002-12-29,Exact,56.96692657,-2.203899622,U,85,FALSE,moderate decomposition (code 3),necropsied,2002
M15/03,Cetacean,Harbour porpoise,Single,15,Phocoena phocoena,Harbour porpoise,2003-01-03,Exact,56.77239609,-2.40246129,U,110,TRUE,unknown,not necropsied,2003
M99/03,Cetacean,Harbour porpoise,Single,99,Phocoena phocoena,Harbour porpoise,2003-01-03,Exact,57.15855026,-7.304798126,F,154,TRUE,moderate decomposition (code 3),sampled,2003
M22/03,Cetacean,Harbour porpoise,Single,22,Phocoena phocoena,Harbour porpoise,2003-01-07,Exact,56.19408035,-2.992647648,U,100,TRUE,freshly dead- died on beach (code 2a),not necropsied,2003
M16/03,Cetacean,Harbour porpoise,Single,16,Phocoena phocoena,Harbour porpoise,2003-01-08,Exact,57.14942932,-2.075985193,F,138,FALSE,moderate decomposition (code 3),necropsied,2003
M24/03,Cetacean,Harbour porpoise,Single,24,Phocoena phocoena,Harbour porpoise,2003-01-10,Exact,57.15391922,-2.077645063,M,145,FALSE,moderate decomposition (code 3),necropsied,2003
M29/03,Cetacean,Harbour porpoise,Single,29,Phocoena phocoena,Harbour porpoise,2003-01-10,Exact,57.14494324,-2.072670221,U,NA,TRUE,advanced decomposition (code 4),not necropsied,2003
M23/03,Cetacean,Harbour porpoise,Single,23,Phocoena phocoena,Harbour porpoise,2003-01-10,Exact,58.57657623,-4.767122746,F,133,FALSE,freshly dead- died on beach (code 2a),necropsied,2003
M45/03,Cetacean,Harbour porpoise,Single,45,Phocoena phocoena,Harbour porpoise,2003-01-18,Exact,56.34113693,-2.782919645,M,160,FALSE,Slight decomposition (code 2b),necropsied,2003
M63/03,Cetacean,Harbour porpoise,Single,63,Phocoena phocoena,Harbour porpoise,2003-01-25,Exact,57.13327408,-2.059441566,U,120,TRUE,advanced decomposition (code 4),not necropsied,2003
M85/03,Cetacean,Harbour porpoise,Single,85,Phocoena phocoena,Harbour porpoise,2003-02-01,Exact,57.51821518,-7.375460148,U,120,TRUE,moderate decomposition (code 3),not necropsied,2003
M82/03,Cetacean,Harbour porpoise,Single,82,Phocoena phocoena,Harbour porpoise,2003-02-12,Exact,58.95025635,-2.973290205,U,135,TRUE,advanced decomposition (code 4),not necropsied,2003
M86/03,Cetacean,Harbour porpoise,Single,86,Phocoena phocoena,Harbour porpoise,2003-02-17,Exact,57.27431488,-2.018197536,F,113,FALSE,freshly dead- died on beach (code 2a),necropsied,2003
M89/03,Cetacean,Harbour porpoise,Single,89,Phocoena phocoena,Harbour porpoise,2003-02-19,Exact,55.62681198,-6.219354153,F,136,FALSE,Slight decomposition (code 2b),necropsied,2003
M191/03,Cetacean,Harbour porpoise,Single,191,Phocoena phocoena,Harbour porpoise,2003-02-20,Exact,58.96279144,-2.978855371,F,114,TRUE,freshly dead- died on beach (code 2a),not necropsied,2003
M104/03,Cetacean,Harbour porpoise,Single,104,Phocoena phocoena,Harbour porpoise,2003-02-22,Exact,56.0095787,-3.546072006,U,150,TRUE,moderate decomposition (code 3),not necropsied,2003
M96/03,Cetacean,Harbour porpoise,Single,96,Phocoena phocoena,Harbour porpoise,2003-02-23,Exact,55.86278152,-4.980209827,F,109,FALSE,freshly dead- died on beach (code 2a),necropsied,2003
M112/03,Cetacean,Harbour porpoise,Single,112,Phocoena phocoena,Harbour porpoise,2003-02-27,Exact,55.49225616,-5.094666004,U,150,TRUE,moderate decomposition (code 3),not necropsied,2003
M105/03,Cetacean,Harbour porpoise,Single,105,Phocoena phocoena,Harbour porpoise,2003-03-01,Exact,57.34706497,-1.93350482,M,114,FALSE,freshly dead- died on beach (code 2a),necropsied,2003
M106/03,Cetacean,Harbour porpoise,Single,106,Phocoena phocoena,Harbour porpoise,2003-03-02,Exact,56.20385742,-2.888120651,U,100,TRUE,moderate decomposition (code 3),not necropsied,2003
M108/03,Cetacean,Harbour porpoise,Single,108,Phocoena phocoena,Harbour porpoise,2003-03-03,Exact,55.98523331,-4.896630287,F,125,FALSE,moderate decomposition (code 3),necropsied,2003
M113/03,Cetacean,Harbour porpoise,Single,113,Phocoena phocoena,Harbour porpoise,2003-03-05,Exact,56.67240143,-2.479714155,M,110,TRUE,Slight decomposition (code 2b),not necropsied,2003
M115/03,Cetacean,Harbour porpoise,Single,115,Phocoena phocoena,Harbour porpoise,2003-03-07,Exact,56.5496521,-2.608294725,M,141,FALSE,moderate decomposition (code 3),necropsied,2003
M116/03,Cetacean,Harbour porpoise,Single,116,Phocoena phocoena,Harbour porpoise,2003-03-07,Exact,57.87903214,-4.015011787,M,106,FALSE,moderate decomposition (code 3),necropsied,2003
M120/03,Cetacean,Harbour porpoise,Single,120,Phocoena phocoena,Harbour porpoise,2003-03-09,Exact,57.87810135,-4.016643047,F,113,FALSE,moderate-advanced decomposition (code 3-4),necropsied,2003
M118/03,Cetacean,Harbour porpoise,Single,118,Phocoena phocoena,Harbour porpoise,2003-03-10,Exact,55.84980011,-5.140624046,M,149,FALSE,Slight decomposition (code 2b),necropsied,2003
M122/03,Cetacean,Harbour porpoise,Single,122,Phocoena phocoena,Harbour porpoise,2003-03-10,Exact,57.31953049,-6.107568741,M,104,FALSE,freshly dead- died on beach (code 2a),necropsied,2003
M123/03,Cetacean,Harbour porpoise,Single,123,Phocoena phocoena,Harbour porpoise,2003-03-13,Exact,56.77420807,-2.397564173,M,120,TRUE,advanced decomposition (code 4),not necropsied,2003
M192/03,Cetacean,Harbour porpoise,Single,192,Phocoena phocoena,Harbour porpoise,2003-03-16,Exact,58.92391968,-3.120179415,U,120,TRUE,advanced decomposition (code 4),not necropsied,2003
M130/03,Cetacean,Harbour porpoise,Single,130,Phocoena phocoena,Harbour porpoise,2003-03-17,Exact,57.34796143,-1.930166125,F,104,FALSE,Slight decomposition (code 2b),necropsied,2003
M140/03,Cetacean,Harbour porpoise,Single,140,Phocoena phocoena,Harbour porpoise,2003-03-30,Exact,56.00963211,-3.390488386,M,102,FALSE,freshly dead- died on beach (code 2a),necropsied,2003
M141/03,Cetacean,Harbour porpoise,Single,141,Phocoena phocoena,Harbour porpoise,2003-03-31,Exact,55.99320602,-3.412345409,M,110,FALSE,freshly dead- died on beach (code 2a),necropsied,2003
M143/03,Cetacean,Harbour porpoise,Single,143,Phocoena phocoena,Harbour porpoise,2003-04-03,Exact,57.68082047,-2.576806068,F,123,FALSE,freshly dead- died on beach (code 2a),necropsied,2003
