mreference,class_field,subclass,event,eventnumberinyear,speciesscientific,speciescommon,datefound,datecertainty,latitudewgs84,longitudewgs84,sex,length,lengthuncertain,conditionfound,examinationlevel,Year
M1232/92,Cetacean,Harbour porpoise,Single,123,Phocoena phocoena,Harbour porpoise,1992-06-08,Exact,56.36973953,-2.806174755,F,148,FALSE,unknown,necropsied,1992
M1256/92,Cetacean,Harbour porpoise,Single,125,Phocoena phocoena,Harbour porpoise,1992-06-08,Exact,55.55281448,-4.660151958,F,78,FALSE,freshly dead- died on beach (code 2a),necropsied,1992
M1224/92,Cetacean,Harbour porpoise,Single,122,Phocoena phocoena,Harbour porpoise,1992-06-08,Exact,57.68175125,-3.99063158,F,119,FALSE,freshly dead- died on beach (code 2a),necropsied,1992
M1246/92,Cetacean,Harbour porpoise,Single,124,Phocoena phocoena,Harbour porpoise,1992-06-09,Exact,57.76498413,-3.894335508,F,72,FALSE,freshly dead- died on beach (code 2a),necropsied,1992
M1225/92,Cetacean,Harbour porpoise,Single,122,Phocoena phocoena,Harbour porpoise,1992-06-09,Exact,55.98010254,-3.29647851,F,88.5,FALSE,Slight decomposition (code 2b),necropsied,1992
M1348/92,Cetacean,Harbour porpoise,Single,134,Phocoena phocoena,Harbour porpoise,1992-06-20,Exact,57.69777679,-2.902562618,M,91,FALSE,freshly dead- died on beach (code 2a),necropsied,1992
M1349/92,Cetacean,Harbour porpoise,Single,134,Phocoena phocoena,Harbour porpoise,1992-06-21,Exact,57.70138168,-2.900973082,M,80,FALSE,advanced decomposition (code 4),necropsied,1992
M1362/92,Cetacean,Harbour porpoise,Single,136,Phocoena phocoena,Harbour porpoise,1992-06-22,Exact,58.96633148,-3.291991472,M,150,FALSE,unknown,necropsied,1992
M1388/92,Cetacean,Harbour porpoise,Single,138,Phocoena phocoena,Harbour porpoise,1992-06-24,Exact,56.78872681,-2.350255489,U,105,TRUE,advanced decomposition (code 4),not necropsied,1992
M1405/92,Cetacean,Harbour porpoise,Single,140,Phocoena phocoena,Harbour porpoise,1992-06-25,Exact,57.69727707,-2.845503092,F,123,FALSE,freshly dead- died on beach (code 2a),necropsied,1992
M1504/92,Cetacean,Harbour porpoise,Single,150,Phocoena phocoena,Harbour porpoise,1992-07-05,Exact,57.59080124,-3.886945009,F,163,FALSE,freshly dead- died on beach (code 2a),necropsied,1992
M1520/92,Cetacean,Harbour porpoise,Single,152,Phocoena phocoena,Harbour porpoise,1992-07-06,Exact,56.73544312,-2.438022614,U,105,TRUE,advanced decomposition (code 4),not necropsied,1992
M1521/92,Cetacean,Harbour porpoise,Single,152,Phocoena phocoena,Harbour porpoise,1992-07-06,Exact,56.7282486,-2.439570427,U,105,TRUE,advanced decomposition (code 4),not necropsied,1992
M1522/92,Cetacean,Harbour porpoise,Single,152,Phocoena phocoena,Harbour porpoise,1992-07-06,Exact,56.71565247,-2.44596076,U,105,TRUE,advanced decomposition (code 4),not necropsied,1992
M1525/92,Cetacean,Harbour porpoise,Single,152,Phocoena phocoena,Harbour porpoise,1992-07-06,Exact,56.70395279,-2.452366114,U,110,TRUE,advanced decomposition (code 4),not necropsied,1992
M1510/92,Cetacean,Harbour porpoise,Single,151,Phocoena phocoena,Harbour porpoise,1992-07-06,Exact,58.20825958,-6.395572186,M,141,FALSE,freshly dead- died on beach (code 2a),necropsied,1992
M1581/92,Cetacean,Harbour porpoise,Single,158,Phocoena phocoena,Harbour porpoise,1992-07-08,Exact,56.69321442,-2.439176083,U,150,TRUE,unknown,not necropsied,1992
M1559/92,Cetacean,Harbour porpoise,Single,155,Phocoena phocoena,Harbour porpoise,1992-07-09,Exact,57.71855545,-3.386562824,F,73,FALSE,unknown,necropsied,1992
M1/92,Cetacean,Harbour porpoise,Single,1,Phocoena phocoena,Harbour porpoise,1992-07-11,Exact,57.67196655,-2.344979525,U,NA,TRUE,unknown,not necropsied,1992
M1708/92,Cetacean,Harbour porpoise,Single,170,Phocoena phocoena,Harbour porpoise,1992-07-24,Exact,59.89870834,-1.33148253,M,85,FALSE,Slight decomposition (code 2b),necropsied,1992
M1658/92,Cetacean,Harbour porpoise,Single,165,Phocoena phocoena,Harbour porpoise,1992-07-24,Exact,60.10803223,-1.570067525,M,143,FALSE,freshly dead- died on beach (code 2a),necropsied,1992
M1738/92,Cetacean,Harbour porpoise,Single,173,Phocoena phocoena,Harbour porpoise,1992-08-05,Exact,57.59106827,-3.868556023,F,118,FALSE,Slight decomposition (code 2b),necropsied,1992
M1812/92,Cetacean,Harbour porpoise,Single,181,Phocoena phocoena,Harbour porpoise,1992-08-11,Exact,57.67494202,-1.968106866,M,106,FALSE,unknown,necropsied,1992
