mreference,class_field,subclass,event,eventnumberinyear,speciesscientific,speciescommon,datefound,datecertainty,latitudewgs84,longitudewgs84,sex,length,lengthuncertain,conditionfound,examinationlevel,Year,Source
M853/92,Cetacean,Harbour porpoise,Single,85,Phocoena phocoena,Harbour porpoise,1992-03-19,Exact,56.42583466,-5.484859467,U,NA,TRUE,unknown,not necropsied,1992,Modern
M674/92,Cetacean,Harbour porpoise,Single,67,Phocoena phocoena,Harbour porpoise,1992-04-01,Exact,57.15571594,-2.077649832,F,155,FALSE,Slight decomposition (code 2b),necropsied,1992,Modern
M734/92,Cetacean,Harbour porpoise,Single,73,Phocoena phocoena,Harbour porpoise,1992-04-08,Exact,56.74354935,-2.433217525,U,NA,TRUE,unknown,not necropsied,1992,Modern
M1054/92,Cetacean,Harbour porpoise,Single,105,Phocoena phocoena,Harbour porpoise,1992-05-17,Exact,57.82389069,-3.860388279,U,146,TRUE,indeterminate (code 5),not necropsied,1992,Modern
M1111/92,Cetacean,Harbour porpoise,Single,111,Phocoena phocoena,Harbour porpoise,1992-05-25,Exact,57.66175079,-3.558721542,F,146,FALSE,Slight decomposition (code 2b),necropsied,1992,Modern
M1115/92,Cetacean,Harbour porpoise,Single,111,Phocoena phocoena,Harbour porpoise,1992-05-25,Exact,57.74755096,-3.918628693,F,130,FALSE,moderate decomposition (code 3),necropsied,1992,Modern
M1244/92,Cetacean,Harbour porpoise,Single,124,Phocoena phocoena,Harbour porpoise,1992-06-04,Exact,57.66997528,-2.348642826,U,NA,TRUE,unknown,not necropsied,1992,Modern
M1712/92,Cetacean,Harbour porpoise,Single,171,Phocoena phocoena,Harbour porpoise,1992-06-04,Exact,57.66856766,-3.51541543,F,74,FALSE,unknown,necropsied,1992,Modern
M1243/92,Cetacean,Harbour porpoise,Single,124,Phocoena phocoena,Harbour porpoise,1992-06-07,Exact,57.7021904,-3.231556892,U,118,TRUE,unknown,not necropsied,1992,Modern
M1293/92,Cetacean,Harbour porpoise,Single,129,Phocoena phocoena,Harbour porpoise,1992-06-07,Exact,58.27242279,-6.280631542,U,NA,TRUE,unknown,not necropsied,1992,Modern
M1232/92,Cetacean,Harbour porpoise,Single,123,Phocoena phocoena,Harbour porpoise,1992-06-08,Exact,56.36973953,-2.806174755,F,148,FALSE,unknown,necropsied,1992,Modern
M1256/92,Cetacean,Harbour porpoise,Single,125,Phocoena phocoena,Harbour porpoise,1992-06-08,Exact,55.55281448,-4.660151958,F,78,FALSE,freshly dead- died on beach (code 2a),necropsied,1992,Modern
M1224/92,Cetacean,Harbour porpoise,Single,122,Phocoena phocoena,Harbour porpoise,1992-06-08,Exact,57.68175125,-3.99063158,F,119,FALSE,freshly dead- died on beach (code 2a),necropsied,1992,Modern
M1246/92,Cetacean,Harbour porpoise,Single,124,Phocoena phocoena,Harbour porpoise,1992-06-09,Exact,57.76498413,-3.894335508,F,72,FALSE,freshly dead- died on beach (code 2a),necropsied,1992,Modern
M1225/92,Cetacean,Harbour porpoise,Single,122,Phocoena phocoena,Harbour porpoise,1992-06-09,Exact,55.98010254,-3.29647851,F,88.5,FALSE,Slight decomposition (code 2b),necropsied,1992,Modern
M1348/92,Cetacean,Harbour porpoise,Single,134,Phocoena phocoena,Harbour porpoise,1992-06-20,Exact,57.69777679,-2.902562618,M,91,FALSE,freshly dead- died on beach (code 2a),necropsied,1992,Modern
M1349/92,Cetacean,Harbour porpoise,Single,134,Phocoena phocoena,Harbour porpoise,1992-06-21,Exact,57.70138168,-2.900973082,M,80,FALSE,advanced decomposition (code 4),necropsied,1992,Modern
M1362/92,Cetacean,Harbour porpoise,Single,136,Phocoena phocoena,Harbour porpoise,1992-06-22,Exact,58.96633148,-3.291991472,M,150,FALSE,unknown,necropsied,1992,Modern
M1388/92,Cetacean,Harbour porpoise,Single,138,Phocoena phocoena,Harbour porpoise,1992-06-24,Exact,56.78872681,-2.350255489,U,105,TRUE,advanced decomposition (code 4),not necropsied,1992,Modern
M1405/92,Cetacean,Harbour porpoise,Single,140,Phocoena phocoena,Harbour porpoise,1992-06-25,Exact,57.69727707,-2.845503092,F,123,FALSE,freshly dead- died on beach (code 2a),necropsied,1992,Modern
M1504/92,Cetacean,Harbour porpoise,Single,150,Phocoena phocoena,Harbour porpoise,1992-07-05,Exact,57.59080124,-3.886945009,F,163,FALSE,freshly dead- died on beach (code 2a),necropsied,1992,Modern
M1520/92,Cetacean,Harbour porpoise,Single,152,Phocoena phocoena,Harbour porpoise,1992-07-06,Exact,56.73544312,-2.438022614,U,105,TRUE,advanced decomposition (code 4),not necropsied,1992,Modern
M1521/92,Cetacean,Harbour porpoise,Single,152,Phocoena phocoena,Harbour porpoise,1992-07-06,Exact,56.7282486,-2.439570427,U,105,TRUE,advanced decomposition (code 4),not necropsied,1992,Modern
M1522/92,Cetacean,Harbour porpoise,Single,152,Phocoena phocoena,Harbour porpoise,1992-07-06,Exact,56.71565247,-2.44596076,U,105,TRUE,advanced decomposition (code 4),not necropsied,1992,Modern
M1525/92,Cetacean,Harbour porpoise,Single,152,Phocoena phocoena,Harbour porpoise,1992-07-06,Exact,56.70395279,-2.452366114,U,110,TRUE,advanced decomposition (code 4),not necropsied,1992,Modern
M1510/92,Cetacean,Harbour porpoise,Single,151,Phocoena phocoena,Harbour porpoise,1992-07-06,Exact,58.20825958,-6.395572186,M,141,FALSE,freshly dead- died on beach (code 2a),necropsied,1992,Modern
M1581/92,Cetacean,Harbour porpoise,Single,158,Phocoena phocoena,Harbour porpoise,1992-07-08,Exact,56.69321442,-2.439176083,U,150,TRUE,unknown,not necropsied,1992,Modern
M1559/92,Cetacean,Harbour porpoise,Single,155,Phocoena phocoena,Harbour porpoise,1992-07-09,Exact,57.71855545,-3.386562824,F,73,FALSE,unknown,necropsied,1992,Modern
M1/92,Cetacean,Harbour porpoise,Single,1,Phocoena phocoena,Harbour porpoise,1992-07-11,Exact,57.67196655,-2.344979525,U,NA,TRUE,unknown,not necropsied,1992,Modern
M1708/92,Cetacean,Harbour porpoise,Single,170,Phocoena phocoena,Harbour porpoise,1992-07-24,Exact,59.89870834,-1.33148253,M,85,FALSE,Slight decomposition (code 2b),necropsied,1992,Modern
M1658/92,Cetacean,Harbour porpoise,Single,165,Phocoena phocoena,Harbour porpoise,1992-07-24,Exact,60.10803223,-1.570067525,M,143,FALSE,freshly dead- died on beach (code 2a),necropsied,1992,Modern
M1738/92,Cetacean,Harbour porpoise,Single,173,Phocoena phocoena,Harbour porpoise,1992-08-05,Exact,57.59106827,-3.868556023,F,118,FALSE,Slight decomposition (code 2b),necropsied,1992,Modern
M1812/92,Cetacean,Harbour porpoise,Single,181,Phocoena phocoena,Harbour porpoise,1992-08-11,Exact,57.67494202,-1.968106866,M,106,FALSE,unknown,necropsied,1992,Modern
M1814/92,Cetacean,Harbour porpoise,Single,181,Phocoena phocoena,Harbour porpoise,1992-08-11,Exact,57.5897789,-3.953813076,F,120,FALSE,unknown,necropsied,1992,Modern
M1970/92,Cetacean,Harbour porpoise,Single,197,Phocoena phocoena,Harbour porpoise,1992-08-30,Exact,54.86962891,-3.645515203,F,158,FALSE,advanced decomposition (code 4),necropsied,1992,Modern
M2030/92,Cetacean,Harbour porpoise,Single,203,Phocoena phocoena,Harbour porpoise,1992-09-06,Exact,57.66300201,-3.602365017,F,121,FALSE,Slight decomposition (code 2b),necropsied,1992,Modern
M2195/92,Cetacean,Harbour porpoise,Single,219,Phocoena phocoena,Harbour porpoise,1992-09-22,Exact,57.67107773,-2.544809341,F,122,FALSE,advanced decomposition (code 4),necropsied,1992,Modern
M2212/92,Cetacean,Harbour porpoise,Single,221,Phocoena phocoena,Harbour porpoise,1992-09-23,Exact,57.67211533,-2.186050892,M,159,FALSE,Slight decomposition (code 2b),necropsied,1992,Modern
M2267/92,Cetacean,Harbour porpoise,Single,226,Phocoena phocoena,Harbour porpoise,1992-09-29,Exact,57.72118759,-3.307745457,F,136,FALSE,advanced decomposition (code 4),necropsied,1992,Modern
M2337/92,Cetacean,Harbour porpoise,Single,233,Phocoena phocoena,Harbour porpoise,1992-10-07,Exact,57.7254715,-3.32805419,M,107,FALSE,Slight decomposition (code 2b),necropsied,1992,Modern
M2476/92,Cetacean,Harbour porpoise,Single,247,Phocoena phocoena,Harbour porpoise,1992-10-14,Exact,57.69776917,-2.904243231,U,NA,TRUE,advanced decomposition (code 4),not necropsied,1992,Modern
M2547/92,Cetacean,Harbour porpoise,Single,254,Phocoena phocoena,Harbour porpoise,1992-11-03,Exact,56.61849213,-2.482301235,M,124,FALSE,freshly dead- died on beach (code 2a),necropsied,1992,Modern
M2587/92,Cetacean,Harbour porpoise,Single,258,Phocoena phocoena,Harbour porpoise,1992-11-08,Exact,57.68148804,-3.140289545,U,156,TRUE,indeterminate (code 5),sampled,1992,Modern
M2630/92,Cetacean,Harbour porpoise,Single,263,Phocoena phocoena,Harbour porpoise,1992-11-13,Exact,57.6840744,-3.495938301,M,116,FALSE,Slight decomposition (code 2b),necropsied,1992,Modern
M2637/92,Cetacean,Harbour porpoise,Single,263,Phocoena phocoena,Harbour porpoise,1992-11-15,Exact,58.59547424,-3.369486809,M,152,FALSE,Slight decomposition (code 2b),necropsied,1992,Modern
M2651/92,Cetacean,Harbour porpoise,Single,265,Phocoena phocoena,Harbour porpoise,1992-11-17,Exact,60.20959473,-1.370279431,M,151,FALSE,freshly dead- died on beach (code 2a),necropsied,1992,Modern
M2679/92,Cetacean,Harbour porpoise,Single,267,Phocoena phocoena,Harbour porpoise,1992-11-22,Exact,57.72629166,-5.689774036,M,133,FALSE,moderate decomposition (code 3),necropsied,1992,Modern
M2763/92,Cetacean,Harbour porpoise,Single,276,Phocoena phocoena,Harbour porpoise,1992-12-05,Exact,58.99446106,-2.946700335,M,128,FALSE,freshly dead- died on beach (code 2a),necropsied,1992,Modern
M2858/92,Cetacean,Harbour porpoise,Single,285,Phocoena phocoena,Harbour porpoise,1992-12-18,Exact,54.85500336,-3.789792299,M,148,FALSE,unknown,necropsied,1992,Modern
M42/93,Cetacean,Harbour porpoise,Single,4,Phocoena phocoena,Harbour porpoise,1993-01-06,Exact,57.38355637,-6.074783325,M,115,FALSE,unknown,necropsied,1993,Modern
M279/93,Cetacean,Harbour porpoise,Single,27,Phocoena phocoena,Harbour porpoise,1993-01-17,Exact,57.30316925,-7.395502567,U,127,TRUE,unknown,not necropsied,1993,Modern
M105/93,Cetacean,Harbour porpoise,Single,10,Phocoena phocoena,Harbour porpoise,1993-01-18,Exact,56.57896042,-6.281003475,F,154,FALSE,freshly dead- died on beach (code 2a),necropsied,1993,Modern
M136/93,Cetacean,Harbour porpoise,Single,13,Phocoena phocoena,Harbour porpoise,1993-01-23,Exact,59.87080002,-1.315969467,F,110.5,FALSE,Slight decomposition (code 2b),necropsied,1993,Modern
M185/93,Cetacean,Harbour porpoise,Single,18,Phocoena phocoena,Harbour porpoise,1993-01-25,Exact,59.87883759,-1.308650732,M,130,FALSE,Slight decomposition (code 2b),necropsied,1993,Modern
M270/93,Cetacean,Harbour porpoise,Single,27,Phocoena phocoena,Harbour porpoise,1993-02-07,Exact,55.64271927,-4.820406914,F,168,FALSE,advanced decomposition (code 4),necropsied,1993,Modern
M359/93,Cetacean,Harbour porpoise,Single,35,Phocoena phocoena,Harbour porpoise,1993-02-15,Exact,54.77595901,-4.364738941,U,NA,TRUE,unknown,not necropsied,1993,Modern
M440/93,Cetacean,Harbour porpoise,Single,44,Phocoena phocoena,Harbour porpoise,1993-02-27,Exact,56.06040955,-2.70014143,M,133,FALSE,Slight decomposition (code 2b),necropsied,1993,Modern
M491/93,Cetacean,Harbour porpoise,Single,49,Phocoena phocoena,Harbour porpoise,1993-03-05,Exact,57.20513153,-2.062868595,M,146,FALSE,freshly dead- died on beach (code 2a),necropsied,1993,Modern
M492/93,Cetacean,Harbour porpoise,Single,49,Phocoena phocoena,Harbour porpoise,1993-03-07,Exact,56.06040955,-2.70014143,U,135,TRUE,advanced decomposition (code 4),not necropsied,1993,Modern
M517/93,Cetacean,Harbour porpoise,Single,51,Phocoena phocoena,Harbour porpoise,1993-03-09,Exact,57.50398636,-4.299777031,M,157,FALSE,Slight decomposition (code 2b),necropsied,1993,Modern
M652/93,Cetacean,Harbour porpoise,Single,65,Phocoena phocoena,Harbour porpoise,1993-03-26,Exact,57.66642761,-3.010746717,U,110,TRUE,advanced decomposition (code 4),not necropsied,1993,Modern
M752/93,Cetacean,Harbour porpoise,Single,75,Phocoena phocoena,Harbour porpoise,1993-04-08,Exact,58.03357315,-3.835688829,M,102,FALSE,freshly dead- died on beach (code 2a),necropsied,1993,Modern
M791/93,Cetacean,Harbour porpoise,Single,79,Phocoena phocoena,Harbour porpoise,1993-04-14,Exact,57.13956451,-2.044582605,U,NA,FALSE,unknown,not necropsied,1993,Modern
M831/93,Cetacean,Harbour porpoise,Single,83,Phocoena phocoena,Harbour porpoise,1993-04-19,Exact,57.40987778,-1.858489633,U,150,TRUE,advanced decomposition (code 4),not necropsied,1993,Modern
M843/93,Cetacean,Harbour porpoise,Single,84,Phocoena phocoena,Harbour porpoise,1993-04-20,Exact,57.7254715,-3.32805419,F,145,FALSE,advanced decomposition (code 4),necropsied,1993,Modern
M822/93,Cetacean,Harbour porpoise,Single,82,Phocoena phocoena,Harbour porpoise,1993-04-21,Exact,58.89968109,-2.888560057,F,110,FALSE,freshly dead- died on beach (code 2a),necropsied,1993,Modern
M879/93,Cetacean,Harbour porpoise,Single,87,Phocoena phocoena,Harbour porpoise,1993-04-21,Exact,58.89968109,-2.888560057,U,90,TRUE,advanced decomposition (code 4),not necropsied,1993,Modern
M906/93,Cetacean,Harbour porpoise,Single,90,Phocoena phocoena,Harbour porpoise,1993-04-28,Exact,57.67744827,-2.979185104,M,121,FALSE,freshly dead- died on beach (code 2a),necropsied,1993,Modern
M930/93,Cetacean,Harbour porpoise,Single,93,Phocoena phocoena,Harbour porpoise,1993-04-30,Exact,57.66460419,-3.617511272,F,121,FALSE,Slight decomposition (code 2b),necropsied,1993,Modern
M1063/93,Cetacean,Harbour porpoise,Single,106,Phocoena phocoena,Harbour porpoise,1993-05-16,Exact,59.53703308,-1.603888512,F,141,FALSE,freshly dead- died on beach (code 2a),necropsied,1993,Modern
M1089/93,Cetacean,Harbour porpoise,Single,108,Phocoena phocoena,Harbour porpoise,1993-05-19,Exact,57.74845123,-3.918684959,M,127,FALSE,Slight decomposition (code 2b),necropsied,1993,Modern
M1106/93,Cetacean,Harbour porpoise,Single,110,Phocoena phocoena,Harbour porpoise,1993-05-21,Exact,55.76209641,-6.363193989,M,97,FALSE,freshly dead- died on beach (code 2a),necropsied,1993,Modern
M1116/93,Cetacean,Harbour porpoise,Single,111,Phocoena phocoena,Harbour porpoise,1993-05-22,Exact,57.66276932,-3.620789289,M,148,FALSE,advanced decomposition (code 4),necropsied,1993,Modern
M1204/93,Cetacean,Harbour porpoise,Single,120,Phocoena phocoena,Harbour porpoise,1993-05-31,Exact,57.63835907,-5.804899693,M,152,FALSE,freshly dead- died on beach (code 2a),necropsied,1993,Modern
M1190/93,Cetacean,Harbour porpoise,Single,119,Phocoena phocoena,Harbour porpoise,1993-05-31,Exact,58.50348663,-3.130787849,M,76,FALSE,Slight decomposition (code 2b),necropsied,1993,Modern
M1227/93,Cetacean,Harbour porpoise,Single,122,Phocoena phocoena,Harbour porpoise,1993-06-03,Exact,57.88892746,-4.013887405,F,141,FALSE,Slight decomposition (code 2b),necropsied,1993,Modern
M1257/93,Cetacean,Harbour porpoise,Single,125,Phocoena phocoena,Harbour porpoise,1993-06-04,Exact,56.2125206,-2.93184948,U,159,TRUE,advanced decomposition (code 4),not necropsied,1993,Modern
M1255/93,Cetacean,Harbour porpoise,Single,125,Phocoena phocoena,Harbour porpoise,1993-06-04,Exact,56.2125206,-2.93184948,U,NA,TRUE,advanced decomposition (code 4),not necropsied,1993,Modern
M1245/93,Cetacean,Harbour porpoise,Single,124,Phocoena phocoena,Harbour porpoise,1993-06-04,Exact,58.26197433,-6.323728085,U,80,TRUE,freshly dead- died on beach (code 2a),not necropsied,1993,Modern
M1237/93,Cetacean,Harbour porpoise,Single,123,Phocoena phocoena,Harbour porpoise,1993-06-04,Exact,56.7253418,-5.247639179,F,160,FALSE,freshly dead- died on beach (code 2a),necropsied,1993,Modern
M1248/93,Cetacean,Harbour porpoise,Single,124,Phocoena phocoena,Harbour porpoise,1993-06-06,Exact,57.66458511,-3.619190931,M,82,FALSE,unknown,necropsied,1993,Modern
M1256/93,Cetacean,Harbour porpoise,Single,125,Phocoena phocoena,Harbour porpoise,1993-06-06,Exact,56.2125206,-2.93184948,U,87,TRUE,advanced decomposition (code 4),not necropsied,1993,Modern
M1263/93,Cetacean,Harbour porpoise,Single,126,Phocoena phocoena,Harbour porpoise,1993-06-08,Exact,60.4859581,-1.545060039,F,156,FALSE,freshly dead- died on beach (code 2a),necropsied,1993,Modern
M1296/93,Cetacean,Harbour porpoise,Single,129,Phocoena phocoena,Harbour porpoise,1993-06-10,Exact,57.2114296,-2.044664383,M,156,FALSE,freshly dead- died on beach (code 2a),necropsied,1993,Modern
M1319/93,Cetacean,Harbour porpoise,Single,131,Phocoena phocoena,Harbour porpoise,1993-06-11,Exact,56.33575058,-2.781183958,M,74,FALSE,freshly dead- died on beach (code 2a),necropsied,1993,Modern
M1344/93,Cetacean,Harbour porpoise,Single,134,Phocoena phocoena,Harbour porpoise,1993-06-13,Exact,57.69402313,-4.009770393,U,90,TRUE,advanced decomposition (code 4),not necropsied,1993,Modern
M1347/93,Cetacean,Harbour porpoise,Single,134,Phocoena phocoena,Harbour porpoise,1993-06-14,Exact,57.71795654,-3.272378445,U,140,TRUE,advanced decomposition (code 4),not necropsied,1993,Modern
M1325/93,Cetacean,Harbour porpoise,Single,132,Phocoena phocoena,Harbour porpoise,1993-06-14,Exact,57.68031311,-2.957461119,M,124,FALSE,unknown,necropsied,1993,Modern
M1346/93,Cetacean,Harbour porpoise,Single,134,Phocoena phocoena,Harbour porpoise,1993-06-14,Exact,57.71878815,-3.279129744,F,120,FALSE,Slight decomposition (code 2b),necropsied,1993,Modern
M1399/93,Cetacean,Harbour porpoise,Single,139,Phocoena phocoena,Harbour porpoise,1993-06-18,Exact,58.50348663,-3.130787849,U,NA,TRUE,indeterminate (code 5),not necropsied,1993,Modern
M1400/93,Cetacean,Harbour porpoise,Single,140,Phocoena phocoena,Harbour porpoise,1993-06-18,Exact,58.50348663,-3.130787849,U,NA,TRUE,advanced decomposition (code 4),not necropsied,1993,Modern
M1369/93,Cetacean,Harbour porpoise,Single,136,Phocoena phocoena,Harbour porpoise,1993-06-18,Exact,58.02545166,-3.8386724,F,124,FALSE,Slight decomposition (code 2b),necropsied,1993,Modern
M1404/93,Cetacean,Harbour porpoise,Single,140,Phocoena phocoena,Harbour porpoise,1993-06-19,Exact,57.92238617,-4.000564098,U,140,TRUE,advanced decomposition (code 4),not necropsied,1993,Modern
M1411/93,Cetacean,Harbour porpoise,Single,141,Phocoena phocoena,Harbour porpoise,1993-06-21,Exact,59.52267838,-1.607600331,M,82.5,TRUE,advanced decomposition (code 4),not necropsied,1993,Modern
M1482/93,Cetacean,Harbour porpoise,Single,148,Phocoena phocoena,Harbour porpoise,1993-06-30,Exact,57.98932648,-3.655817509,F,74,FALSE,freshly dead- died on beach (code 2a),necropsied,1993,Modern
M1564/93,Cetacean,Harbour porpoise,Single,156,Phocoena phocoena,Harbour porpoise,1993-07-02,Exact,56.05877304,-2.671200037,U,150,TRUE,freshly dead- died on beach (code 2a),not necropsied,1993,Modern
M1559/93,Cetacean,Harbour porpoise,Single,155,Phocoena phocoena,Harbour porpoise,1993-07-07,Exact,57.68082428,-2.325282812,M,162,FALSE,freshly dead- died on beach (code 2a),necropsied,1993,Modern
M1592/93,Cetacean,Harbour porpoise,Single,159,Phocoena phocoena,Harbour porpoise,1993-07-12,Exact,57.7264061,-3.324731588,M,137,FALSE,advanced decomposition (code 4),necropsied,1993,Modern
M1646/93,Cetacean,Harbour porpoise,Single,164,Phocoena phocoena,Harbour porpoise,1993-07-18,Exact,57.6913414,-3.489532471,U,120,TRUE,Slight decomposition (code 2b),not necropsied,1993,Modern
M1653/93,Cetacean,Harbour porpoise,Single,165,Phocoena phocoena,Harbour porpoise,1993-07-20,Exact,57.71054077,-2.29534173,F,156,FALSE,freshly dead- died on beach (code 2a),necropsied,1993,Modern
M1730/93,Cetacean,Harbour porpoise,Single,173,Phocoena phocoena,Harbour porpoise,1993-07-23,Exact,55.97621155,-2.450233221,U,100,TRUE,advanced decomposition (code 4),not necropsied,1993,Modern
M1848/93,Cetacean,Harbour porpoise,Single,184,Phocoena phocoena,Harbour porpoise,1993-08-15,Exact,58.61545944,-3.347876787,U,75,TRUE,indeterminate (code 5),not necropsied,1993,Modern
M1847/93,Cetacean,Harbour porpoise,Single,184,Phocoena phocoena,Harbour porpoise,1993-08-15,Exact,58.61634445,-3.349627733,F,100,TRUE,advanced decomposition (code 4),not necropsied,1993,Modern
M1916/93,Cetacean,Harbour porpoise,Single,191,Phocoena phocoena,Harbour porpoise,1993-08-18,Exact,54.91384125,-3.564623117,F,81,FALSE,Slight decomposition (code 2b),necropsied,1993,Modern
M2053/93,Cetacean,Harbour porpoise,Single,205,Phocoena phocoena,Harbour porpoise,1993-09-05,Exact,57.57667542,-4.098621368,F,110,FALSE,freshly dead- died on beach (code 2a),necropsied,1993,Modern
M2049/93,Cetacean,Harbour porpoise,Single,204,Phocoena phocoena,Harbour porpoise,1993-09-06,Exact,56.33934021,-2.78288126,F,166,FALSE,freshly dead- died on beach (code 2a),necropsied,1993,Modern
M2142/93,Cetacean,Harbour porpoise,Single,214,Phocoena phocoena,Harbour porpoise,1993-09-11,Exact,59.23954391,-2.830783606,U,150,TRUE,advanced decomposition (code 4),not necropsied,1993,Modern
M2189/93,Cetacean,Harbour porpoise,Single,218,Phocoena phocoena,Harbour porpoise,1993-09-20,Exact,58.87255478,-2.91387558,F,173,FALSE,advanced decomposition (code 4),necropsied,1993,Modern
M2204/93,Cetacean,Harbour porpoise,Single,220,Phocoena phocoena,Harbour porpoise,1993-09-21,Exact,57.69370651,-3.972828388,F,132,FALSE,advanced decomposition (code 4),necropsied,1993,Modern
M2251/93,Cetacean,Harbour porpoise,Single,225,Phocoena phocoena,Harbour porpoise,1993-09-27,Exact,57.71533585,-3.43343997,M,152,FALSE,advanced decomposition (code 4),necropsied,1993,Modern
M2306/93,Cetacean,Harbour porpoise,Single,230,Phocoena phocoena,Harbour porpoise,1993-10-01,Exact,57.75298691,-3.915566444,F,102,FALSE,freshly dead- died on beach (code 2a),necropsied,1993,Modern
M2316/93,Cetacean,Harbour porpoise,Single,231,Phocoena phocoena,Harbour porpoise,1993-10-02,Exact,56.77010345,-2.406512976,U,120,TRUE,advanced decomposition (code 4),sampled,1993,Modern
M2359/93,Cetacean,Harbour porpoise,Single,235,Phocoena phocoena,Harbour porpoise,1993-10-08,Exact,57.97417831,-3.962856293,F,150,TRUE,advanced decomposition (code 4),sampled,1993,Modern
